General codes:
0x00000000: BSE_INFO_SUCCESS      = The operation was completed successfully. 
0x00000000: PDF_S_SUCCESS         = The operation was completed successfully. 

BSE:
0x80308001:  BSE_ERROR_MEMORY_ALLOCATE         = Memory allocation error. 
0x80300002:  BSE_ERROR_ASCII85_OVERFLOW        = The value represented by a group of 5 characters is greater than 2^32 - 1. 
0x80300003:  BSE_ERROR_ASCII85_Z               = A 'z' character occurs in the middle of a group in an ASCII85 stream. 
0x80300004:  BSE_ERROR_ASCII85_INCOMPLETE      = A final partial group contains only one character in an ASCII85 stream. 
0x80300005:  BSE_ERROR_ASCII85_CHAR            = An invalid character was encountered in an ASCII85 stream. 
0x80300006:  BSE_ERROR_ASCII85_EOS             = An EOD code was missing in an ASCII85 stream. 
0x80300007:  BSE_ERROR_ASCIIHEX_CHAR           = A character in an ASCIIHex stream is invalid. 
0x80300008:  BSE_ERROR_ASCIIHEX_EOS            = An EOD code was missing in an ASCIIHex stream. 
0x80300009:  BSE_ERROR_CCITT_LINE              = The CCITTFax stream contains a line which is too long. 
0x8030000A:  BSE_ERROR_CCITT_1DEXT             = The CCITTFax stream contains 1D extensions. 
0x8030000B:  BSE_ERROR_CCITT_HUF1D             = The CCITTFax stream contains an invalid 1D huffman code. 
0x8030000C:  BSE_ERROR_CCITT_2DEXT             = The CCITTFax stream contains 2D extensions. 
0x8030000D:  BSE_ERROR_CCITT_HUF2D             = The CCITTFax stream contains an invalid 2D huffman code. 
0x80300019:  BSE_ERROR_LZW_EOS                 = An EOD code was missing in an LZW stream. 
0x8030001A:  BSE_ERROR_LZW_CODE                = An invalid code was encountered in an LZW stream. 
0x8030001B:  BSE_ERROR_RLE_EOS                 = An EOD code was missing in an RunLength stream. 
0x8030001D:  BSE_E_TCP_CONN                    = Failed to establish TCP connection to %host%:%port%. 
0x8030001E:  BSE_E_TCP_RESP                    = TCP failed to send %url% (error code %code%). 
0x8030001F:  BSE_E_HTTP_REQ                    = Failed to send HTTP %verb% request to http://%host%%resource%. 
0x80300020:  BSE_E_HTTP_RESP                   = Failed to send %url%. Server returned HTTP status code %code%. 
0x80300021:  BSE_E_MAXPATH                     = Path too long: '%path%'. Maximum length is %maxlen%. 
0x00300030:  BSE_I_TASK_SCHEDULED              = Task '%name%' scheduled. 
0x00300031:  BSE_I_TASK_STARTED                = Task '%name%' started. 
0x00300032:  BSE_I_TASK_FINISHED               = Task '%name%' finished. 
0x80300033:  BSE_E_TASK_FAILED                 = Task '%name%' failed: %message%. 
0x80300040:  BSE_E_STREAM_LENGTH               = Invalid number of bytes in stream. 
0x80300041:  BSE_E_UTF8                        = Invalid UTF8. 
0x80300042:  BSE_E_UTF16                       = Invalid UTF16. 
0x80300043:  BSE_E_SYSTEMCP                    = Failed to decode data using system code page. 
0x8030FFFF:  BSE_ERROR_FATAL                   = Unknown fatal error. 
0x8030FFFF:  PDF_E_FATAL                       = Unknown fatal error. 

PDF:
0x80410101:  PDF_E_FILEOPEN                = The file couldn't be opened. 
0x80410102:  PDF_E_FILECREATE              = The file couldn't be created. 
0x80410103:  PDF_E_SETPOS                  = The file's position couldn't be set. 
0x80410104:  PDF_E_HEADER                  = The file header was not found. 
0x00418105:  PDF_W_HEADEROFFS              = The file header must be located at the beginning. 
0x00410106:  PDF_I_VERSION                 = The file header version does not conform to the standard. 
0x00418107:  PDF_W_BINARY                  = The comment, classifying the file as containing 8-bit binary data, is missing. 
0x80410108:  PDF_E_EOF                     = The end-of-file marker was not found. 
0x00418109:  PDF_W_EOFOFFS                 = The last line of the file must contain an end-of-file marker. 
0x8041010A:  PDF_E_STARTXREF               = The 'startxref' keyword or the xref position was not found. 
0x8041010B:  PDF_E_XREF                    = The 'xref' keyword was not found or the xref table is malformed. 
0x0041810C:  PDF_W_XREFOFFS                = The 'xref' keyword must be located at the given offset. 
0x0041810D:  PDF_W_XREFSEP                 = The xref fields must be separated by a single space and terminated by a single end-of-line marker. 
0x8041010E:  PDF_E_TRAILER                 = The file trailer dictionary is missing or invalid. 
0x8041010F:  PDF_E_ROOT                    = The root object was not found. 
0x00418110:  PDF_W_ENCRYPT                 = The file trailer dictionary must not have an encrypt key. 
0x00418111:  PDF_W_ID                      = The file trailer dictionary must have an id key. 
0x80410112:  PDF_E_PASSWORD                = The authentication failed due to a wrong password. 
0x80410113:  PDF_E_CORRUPT                 = The file is corrupt and cannot be repaired. Some of the contents can possibly be recovered. 
0x00418114:  PDF_W_CORRUPT                 = The file is corrupt and needs to be repaired. 
0x00410115:  PDF_I_OBJNUMBER               = The object with the number %n% doesn't exist. 
0x00410116:  PDF_I_GENNUMBER               = The generation number %n1% of the object doesn't match with the generation number %n2% of the object's reference. 
0x80410117:  PDF_E_XFANEEDSRENDERING       = The file contains unrendered XFA fields. 
0x80410118:  PDF_E_UNKSECHANDLER           = The file uses a proprietary security handler. 
0x80410119:  PDF_E_SECALGONIMP             = The file uses a security algorithm that is not implemented. 
0x8041011A:  PDF_E_COLLECTION              = The file is a collection (PDF Portfolio). 
0x0041811B:  PDF_W_HEADER                  = The file header format does not conform to the standard. 
0x8041011C:  PDF_E_ENCPARAM                = Invalid or inconsistent encryption parameters specified. 
0x80410201:  PDF_E_FILTER                  = The filter %name% is unknown. 
0x80410218:  PDF_E_IMAGEDATA               = The image's sample stream's computed length %l1% is different to the actual length %l2%. 
0x00418219:  PDF_W_DECODE                  = Errors in decode filter. 
0x80410301:  PDF_E_OBJNO                   = The object number is missing. 
0x80410302:  PDF_E_GENNO                   = The generation number is missing. 
0x80410303:  PDF_E_IDENTITY                = The object's identity %n1% doesn't match with the object's reference identity %n2%. 
0x80410304:  PDF_E_OBJ                     = The "obj" keyword is missing. 
0x00410305:  PDF_I_NULL                    = The object %obj% is empty (null). 
0x80410306:  PDF_E_LENGTH                  = The "Length" key of the stream object is wrong. 
0x80410307:  PDF_E_ENDSTREAM               = The "endstream" keyword is missing. 
0x80410308:  PDF_E_ENDOBJ                  = The "endobj" keyword is missing. 
0x00418309:  PDF_W_XREFOFF                 = The offset in the xref table is not correct. 
0x00418310:  PDF_W_ARRAYSIZE               = An array contains more than 8191 elements. 
0x00418311:  PDF_W_NAMELENGTH              = A name is longer than 127 bytes. 
0x00418312:  PDF_W_INTEGERVAL              = An integer value is larger than 2^31-1. 
0x00418313:  PDF_W_DICTCAPACITY            = A dictionary contains more than 4095 entries. 
0x00418314:  PDF_W_REALVAL                 = A real value is larger than 2^15-1. 
0x00418315:  PDF_W_PAGEBOX                 = The page boundary %name% is not within the allowed range. 
0x00418316:  PDF_W_REALVAL2                = A real value's absolute value is larger than 3.403 x 10^38. 
0x00418317:  PDF_W_STRINGLENGTH            = A string length exceeds the limit defined by the standard. 
0x00418318:  PDF_W_GSSTACK                 = The size of the graphics state stack exceeds the limit defined by the standard. 
0x00418319:  PDF_W_OBJCOUNT                = The file has more than 8388607 indirect objects. 
0x8041031A:  PDF_E_ARRAYSIZE               = The %name% array has %n1% but must have %n2% elements. 
0x8041031B:  PDF_E_INVFUNC                 = The function is invalid. 
0x8041031C:  PDF_E_DEVICENCOMP             = Number of colorants %n% exceeds maximum of %nmax%. 
